Acronym,Full_Spelling
AA,amino acid
AAA,abdominal aortic aneurysm
AAC,adenocystic carcinoma
AACG,acute angle-closure glaucoma
AAL,anterior axillary line
AAOCA,anomalous aortic origin of coronary artery
AARF,atlantoaxial rotatory fixation
AAS,acute aortic syndrome
AAST,American association for the surgery of trauma
AAU,acute anterior uveitis
AB,antibiotics
ABC,Airway breathing circulation
ABD,abdomen
ABER,abduction and external rotationposition
ABG,arterial blood gas
ABI,acquired brain injury
ABN,abnormal
ABNL,abnormal
ABO,ABO blood type system
ABPA,allergic broncho pulmonary aspergillosis
ABPI,ankle-brachial pressure index
ABR,American Board of Radiology
ABS,absent
ABX,antibiotics
AC,abdominal circumference
ACA,anterior cerebral artery
ACDA,anterior cervical disc arthroplasty
ACDF,anterior cervical discectomy and fusion
ACE,angiotensin-converting enzyme
ACE-i,angiotensin-converting enzyme inhibitor
ACGME,Accreditation Council for Graduate Medical Education
ACh,acetylcholine
AChE,acetylcholinesterase
ACJ,acromioclavicular joint
ACL,anterior cruciate ligament
ACLS,advanced cardiac life support
ACOAS,anomalous origin of the coronary artery arising from the opposite sinus
ACOM,anterior communicating artery
AC-PC line,anterior commissure - posterior commissure line
ACP,Amplatzer cardiac plug
ACR,American College of Radiology
ACS,acute coronary syndrome
ACTH,adrenocorticotropic hormone
ACV,anterior cardiac vein
ACVS,acute COVID-19 vaccination syndrome
AD,Autonomic dysreflexia 
ADC,apparent diffusion coefficient
ADDS ,adult deterioration detection system
ADD-RS,aortic dissection detection risk score
ADE,antibody-dependent enhancement
ADEM,acute disseminating encephalomyelitis
ADH,antidiuretic hormone
ADHD,attention deficit hyperactivity disorder
ADHF,acute decompensated heart failure
ADI,atlantodental interval
ADL,activities of daily living
ADP,adenosine diphosphate
ADPCKD,autosomal dominant polycystic kidney disease
ADPKD,autosomal dominant polycystic kidney disease
ADR,adverse drug reaction
ADRC,automatic dose rate control
ADT,androgen deprivation therapy
A&E,accident and emergency (department)
A/E,accident and emergency (department)
AE,air entry
AEC,automatic exposure control
AED,automated external defibrillators
AF,atrial fibrillation
AFB,acid-fast bacillus
AFIB,atrial fibrillation
AFCU,accessory flexor carpi ulnaris muscle
AFE,amniotic fluid embolism
AFF,atypical femoral fracture
AFH,angiomatoid fibrous histiocytoma
AFI,amniotic fluid index
AFL,air flow limitation
AFP,alpha fetoprotein
AFS,allergic fungal sinusitis
AG,antiglobulin test
A/G,albumin-globulin ratio
AGMA,anion gap metabolic acidosis
AI,autoimmune
AICA,anterior inferior cerebellar artery
AICD,automated implantable cardiac defibrillator
AIDP,acute inflammatory demyelinating polyradiculoneuropathy
AIDS,acquired immunodeficiency syndrome
AIHA,autoimmune hemolytic anemia
AIIS,anterior inferior iliac spine
AIN,acute interstitial nephritis
AION,anterior ischemic optic neuropathy
AIP,average intensity projection
AIS,American Spinal Injury Association (ASIA) Impairment Scale
AJL,anterior junctional line
AJNR,American Journal of Neuroradiology
AJR,American Journal of Roentgenology
AKA,above knee amputation
AKOA,accelerated knee osteoarthritis
AKI,acute kidney injury
AKU,alkaptonuria
ALARA,as low as reasonably achievable
ALARP,as low as reasonably practicable
ALCAPA,anomalous left coronary artery from the pulmonary artery
ALD,adrenoleukodystrophy
ALHE,angiolymphoid hyperplasia with eosinophilia
ALI,acute lung injury
ALIF,anterior lumbar interbody fusion
ALK,anaplastic lymphoma kinase
ALL,acute lymphoblastic leukemia
ALND,axillary lymph node dissection
ALOC,altered level of consciousness
ALP,alkaline phosphatase
ALPSA,anterior labroligamentous periosteal sleeve avulsion
ALS,amyotrophic lateral sclerosis
ALT,alanine transaminase
ALTE,acute life-threatening event
ALVAL,aseptic lymphocyte-dominant vasculitis-associated lesion
AmE,American English
AMI,acute myocardial infarction
A-mode,amplitude mode (ultrasound)
AMP,adenosine monophosphate or adenylic acid
AMPA,α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid
AMS,altered mental status
AMV,anterior medullary vein
ANA,antinuclear antibodies
anat,anatomy
ANED,"alive, no evidence of disease"
ANOH,anatomic neck of humerus
Ao,aorta
AOD,atlanto-occipital dissociation injury
AOM,acute otomastoiditis
AOSD,adult-onset Still disease
AP,Anterior-posterior
APC,argon plasma coagulation
APHE,arterial phase hyperenhancement
APLA,antiphospholipid antibodies
APLS,antiphospholipid syndrome
APML,acute promyelocytic leukemia
APMV,anterior pontomesencephalic vein
APO,acute pulmonary edema
APR,abdominoperineal resection
APRV,airway pressure release ventilation
APS,antiphospholipid syndrome
APT,antiplatelet therapy
APTT,activated partial thromboplastin time
APUD,amine precursor uptake and decarboxylation
APW,aortopulmonary window
AR,aortic regurgitation
ARBD,alcohol-related birth defects
ARDS,acute respiratory distress syndrome
ARF,acute renal failure
ARLD,alcohol-related liver disease
ARND,alcohol-related neurodevelopmental disorders
ARRS,American Roentgen Ray Society
ARS,American Radium Society
ART,antiretroviral therapy
ASA,acetylsalicylic acid
ASAD,arthroscopic subacromial decompression
ASAP,as soon as possible
ASB,anatomical snuff box
ASCVD,atherosclerotic cardiovascular disease
ASD,atrial septal defect
aSDH,acute subdural hemorrhage
ASIA,American Spinal Injury Association
